MUNICIPIOS ;Área que ocupa los Rellenos Sanitarios ;Número de botaderos ;Área que ocupa botaderos ;Total de resisduos Recolectados en ton. en el 2012;Total de recolección de residuos sólidos en forma diferenciada ;Total de residuos peligrosos en ton. ;Total de residuos orgánicos en ton.;Total de residuos inorgánicos ton.;Total de la cantidad tratada de todos los residuos ;Cantidad de Residuos Urbanos destinados al Reciclaje ;Cantidad Total de Residuos Urbanos ;Total de residuos sólidos y residuos peligrosos tratados ;Fuentes de captación de agua (agua superficial volumen);Fuentes de captación de agua (agua subterránea  volumen);Volumen total de las fuentes de captación de agua superficial y subterráea ;Volumen bruto de agua dulce provisto para el suministro de agua potable m3;Total del Volumen de agua registrada y distribuida por tipo de ususario;Cantidad total de agua residual recolectada m3;Total agua residual y su tratamiento ;Número de plantas de tratamiento de agua residual ;Capacidad del tipo de planta de tratamiento de agua residual;Cantidad total de agua no tratada volumen m3;Volumen total de agua tratada vertida ;Volumen total de agua no tratada vertida ;Cantidad de agua residual descargada al sisteme de alcantarillado m3;Consumo de agua de la institución durante 2012: valor 
ALFREDO BAQUERIZO;;;;3920,00;;;;;;;;;;;;;;;;;;;;;;
BALAO;50000;;;4032,00;;;;;;806,40;806,40;806,40;;469188,00;469188,00;469188,00;;375750,00;;1;2500,00;0,00;375750,00;;;
BALZAR;;1;20000;8760,00;;;;;;;;;;;;;;;;;;;;;;132000,00
GNRAL. ANTONIO ELIZALDE ;;;;1612,80;1612,80;;1129,00;483,80;1612,800;;1612,80;1612,80;486000,00;54000,00;540000,00;540000,00;;;;;;;;;432000,00;
COLIMES;;1;63000;1460,00;;;;;;;;;;569400,00;569400,00;;;9125,00;9125,00;1;9173,00;48,00;9125,00;48,00;9173,00;
DAULE;;1;50000;110,00;;;;;;;;;6205000,00;;6205000,00;6205000,00;;2455000,00;2455000,00;1;10000,00;100000,00;2455000,00;100000,00;2555000,00;28828,71
DURAN;;1;50000;;;;;;;;;;;9125000,00;9125000,00;;;;;1;;;;;7300000,00;
EL EMPALME;;1;18000;39430,00;;;;;;;;;;;;;;;;;;;;;;
EL TRIUNFO;45000;;;5054,00;;;;;;;;;;1440000,00;1440000,00;;;;;1;0,00;;;;910000,00;
GRAL. VILLAMIL - PLAYAS;;1;130000;21120,00;;;;;;;;;5964348,00;;5964348,00;4678704,00;4678704,00;3275093,00;3275093,00;1;413126,58;1403611,00;3275093,00;1403611,00;3275093,00;
GUAYAQUIL;;;;;;;;;;;;;;;;;;;;;;;;;;
ISIDRO AYORA;;;;1440,00;;;;;;;1440,00;1440,00;;242400,00;242400,00;242400,00;242400,00;;;;;;;;;
LOMAS DE SARGENTILLO;;2;78100;;;;;;;;;;;;;;;;;;;;;;;
MARCELINO MARIDUEÑA;;1;20000;2392,00;;;;;;;;;;946080,00;946080,00;;;;;1;2800,00;;;;756864,00;
MILAGRO;98000;;;62780,00;;;;;;;3920,00;3920,00;;16425000,00;16425000,00;16125000,00;7253148,00;;;;;;;;;
NARANJAL;;1;40000;;;;;;;;;;3153600,00;1576800,00;4730400,00;4730400,00;4236555,00;;;1;;;;;3784320,00;
NARANJITO;;1;30000;19710,00;;;;;;;;;2304000,00;439200,00;2743200,00;2743200,00;2628000,00;;;1;;;;;2102400,00;144000,00
NOBOL;;1;11000;19600,00;;;;;;;;;;;;;;;;;;;;;;127000,00
PALESTINA;;1;7056;3060,00;;;;;;;;;;255500,00;255500,00;;;204000,00;;1;;;204000,00;;;
PEDRO CARBO;;1;108000;5475,00;;;;;;;;;;1356048,00;1356048,00;1356048,00;;;;;;;;;47304,00;
SALITRE;;1;10000;14600,00;14580,00;;7290,00;4380,00;11670,000;4380,00;11670,00;11670,00;31536,00;;31536,00;;;;;1;50,00;;;;;
SAMBORONDON;;1;38000;36500,00;;;;;;;;;;292000,00;292000,00;;;;;1;;;;;;
SAN JACINTO DE YAGUACHI;;1;20000;9456,00;;;;;;;;;;;;;;;;;;;;;;
SANTA LUCIA;;1;40000;810,00;;;;;;;;;1057536,00;;1057536,00;1057536,00;;;;1;;;;;684000,00;
SIMON BOLIVAR;;1;15000;6500,00;;;;;;;;;;;;;;;;;;0,00;;;;
ARENILLAS;;1;25000;5475,00;;;;;;;;;4730400,00;;4730400,00;;;;;;;;;;;
ATAHUALPA;20000;1;5000;803,00;;;;;;;;;684288,00;;684288,00;684288,00;;;;13;;;;;;
BALSAS;12000;;;1243,00;1243,00;100,00;699,00;444,00;1243,000;48,00;964,80;1064,80;434804,40;;434804,40;434804,40;434804,40;;;;;;;;;
CHILLA;;1;40000;208,00;;;;;;;;;3342816,00;;3342816,00;43274,00;43274,00;;;1;;;;;;
EL GUABO;;1;40000;8577,50;;;;;;;;;2903040,00;;2903040,00;;;;;5;;;;;;
HUAQUILLAS;40000;1;87900;17520,00;;;;;;;;;2177280,00;933120,00;3110400,00;;;;;;;;;;2239488,00;
LAS LAJAS;;1;12000;1278,00;;;;;;;;;283824,00;;283824,00;283824,00;204984,00;;163987,00;3;792,00;;;;163987,00;
MACHALA;130800;;;751,10;;;;;;;;;1239504,00;1144158,00;2383662,00;2383662,00;1583746,00;;;;;;;;;
MARCABELI;16000;;;850,00;850,00;12,00;465,00;343,20;820,200;54,00;808,20;820,20;662256,00;;662256,00;662256,00;;;;;;;;;;
PASAJE;16000;;;18250,00;;;;;;;;;6937920,00;;6937920,00;;;;;;;;;;5550336,00;
PIÑAS;;1;35000;5400,00;;;;;;;;;1892000,00;;1892000,00;1823446,00;1134659,00;;;;;;;;911723,20;
PORTOVELO;;1;20000;1887,59;1887,59;60,40;1264,69;494,55;1887,590;;;;1261440,00;;1261440,00;;;;;;;;;;;
SANTA ROSA;17000;;;18500,00;;;;;;;;;9268992,00;;9268992,00;8180352,00;7776000,00;2508732,00;;;;;2508732,00;;6220800,00;
ZARUMA;12000;;;3544,15;;;;;;;;;3468960,00;;3468960,00;641760,00;;;;;;;;;493804,00;
BABA;;1;20000;572,00;;;;;;;;;;157680,00;157680,00;;;;;1;;;;;;
BABAHOYO;10000;1;40000;36000,00;;;;;;;;;;7563953,46;7563953,46;7563953,46;4567321,00;5385968,00;5385968,00;1;;;5385968,00;;5385968,00;
BUENA FE;;1;22000;14400,00;;;;;;;;;;3360000,00;3360000,00;3360000,00;;2419200,00;2419200,00;1;;0,00;2419200,00;;2419200,00;
MOCACHE;;1;3225;2190,00;;;;;;;;;;5366,96;5366,96;;;;;;;;;;;
MOTALVO;;1;42000;3186,04;;;;;;;;;3153600,00;;3153600,00;;;;;;;;;;2522880,00;
PALENQUE;;1;50000;1869,00;;;;;;;;;;3661200,00;3661200,00;;1589940,00;;;;;;;;1271952,00;
PUEBLO VIEJO;;1;20000;4380,00;;;;;;;;;;2239056,00;2239056,00;;;;;3;144,00;;;;1791245,00;
QUEVEDO;;1;12000;47450,00;;;;;;;;;10091520,00;13875840,00;23967360,00;22049971,00;;;;;;;;;17639976,80;
QUINSALOMA;;1;375;1278,00;;;;;;;;;1000000,00;;1000000,00;;;;200000,00;1;;;;;;
URDANETA;;1;20000;11018,00;;;;;;;;;;;;;;;;;;;;;;
VALENCIA;;1;15000;6136,00;;;;;;;;;;386900,00;386900,00;328365,00;;;;;;;;;262692,00;543,60
VENTANAS;;1;108000;25550,00;;;;;;;;;;1277500,00;1277500,00;1058500,00;;;;1;120000,00;;;;1022000,00;
VINCES;;1;140000;13000,00;;;;;;;;;;3285000,00;3285000,00;3285000,00;;;;;;1342500,00;;;1342500,00;
24 DE MAYO;;1;4000;1420,00;;;;;;;;;;;216000,00;;;;;1;;;;;172800,00;
BOLIVAR;;1;12000;1248,00;;;;;;;;;11680000,00;;11680000,00;11680000,00;;1971000,00;1971000,00;3;5400,00;;1971000,00;;;
CHONE;;1;10700;40150,00;12,00;12,00;;;12,000;;;12,00;175000,00;;175000,00;;;;;1;;;;;;
EL CARMEN;;1;120000;2880,00;;;;;;;;;;4380000,00;4380000,00;;;;;;;;;;;
FLAVIO ALFARO;;1;30000;4015,00;;;;;;;;;511000,00;;511000,00;511000,00;;;;;;;;;408800,00;
JAMA;15000;;;2721,60;142,00;;91,00;51,00;142,000;51,00;111,00;111,00;;254,04;254,04;254,04;254,04;;;;;;;;;239000,00
JARAMIJO;;;;9000,00;;;;;;;;;4860000,00;;4860000,00;4860000,00;4860000,00;;;;;;;;3888000,00;9096,37
JIPIJAPA;30000;;;13140,00;360,00;360,00;;;360,000;;;360,00;1800000,00;;1800000,00;1400000,00;;975000,00;975000,00;1;27900,00;;975000,00;;900000,00;
JUNIN;;1;15000;3528,00;;;;;;;;;;;;;;;;;;;;;;
MANTA;;1;35000;114564,00;82393,00;190,00;13700,00;;13890,000;;114564,00;114754,00;16200000,00;;16200000,00;16200000,00;;10800000,00;10800000,00;1;90000,00;0,00;10800000,00;;33000,00;121576,76
MONTECRISTI;;1;39800;25185,00;;;;;;;;;960000,00;;960000,00;960000,00;;;;;;;;;537600,00;
OLMEDO;;1;14000;525,00;;;;;;;;;;18000,00;18000,00;;;;;1;;;;;14400,00;
PAJAN;;1;36200;2964,00;;;;;;;;;657000,00;;657000,00;;;532280,00;532280,00;1;10900,00;;532280,00;;;
PEDERNALES;;1;20000;10800,00;;;;;;;;;4320000,00;4147,00;4324147,00;;;;;;;;;;572992,00;
PICHINCHA;;1;40000;1836,00;;;;;;;;;;292000,00;292000,00;292000,00;292000,00;;;;;;;;;
PORTOVIEJO;;1;14000;66922,75;90,00;;;;90,000;;;;19150902,00;;19150902,00;17673354,00;17673354,00;10604010,00;10604010,00;1;40000000,00;;10604010,00;;;2848,43
PUERTO LOPEZ;;2;22700;5130,00;;;;;;;;;;;;;;;;;;;;;;
ROCAFUERTE;;1;20000;5400,00;;;;;;;;;45000,00;;45000,00;44000,00;;;;;;;;;27009,00;8000,00
SAN VICENTE;;1;10000;1365,00;;;;;;;;;;;;;;;;1;;;;;;3202,38
SANTA ANA;;1;24800;2950,00;;;;;;;;;776000,00;;776000,00;776000,00;;;;1;13038,00;;;;;
SUCRE;27000;;;679,26;168,00;3,00;;;3,000;18,00;2438,00;2441,00;5475000,00;;5475000,00;;;;4200000,00;1;;0,00;;;4200000,00;
TOSAGUA;;1;10000;2555,00;;;;;;;;;1460000,00;;1460000,00;1460000,00;;;;;;;;;;
LA LIBERTAD;;1;14000;25200,00;;;;;;;;;21433577,00;;21433577,00;21433577,00;4863101,00;1576800,00;1576800,00;1;;;1576800,00;;1576800,00;141142,62
SANTA ELENA;;2;70000;2520,00;9,60;9,60;;;9,600;;;9,60;21433577,00;;21433577,00;21422577,00;4087647,13;3910464,00;3910464,00;1;;;3910464,00;;3910464,00;
SALINAS;;1;50000;14000,00;;;;;;360,00;360,00;360,00;21433577,00;;21433577,00;21433577,00;209756,00;209756,00;209756,00;1;0,00;209756,00;209756,00;;209756,00;
GUARANDA;20000;;;12775,00;2878,66;;2347,06;531,60;2878,660;531,60;2878,66;2878,66;;4199040,00;4199040,00;4017600,00;;;;;;;;;17639976,80;
CALUMA;;1;3000;2415,00;;;;;;;;;21024000,00;;21024000,00;;;;;;;;;;;
CHILLANES;;;;832,00;;;;;;;832,00;832,00;630720,00;;630720,00;630720,00;154819,00;;;;;;;;;
CHIMBO;;1;10500;652,00;;;;;;;508,56;508,56;;946080,00;946080,00;946080,00;310558,00;;;;;;;;;
ECHENDIA;;1;12000;2683,00;;;;;;;;;1400000,00;;1400000,00;1200000,00;;;;1;;;;;;
LAS NAVES;;1;10000;2190,00;;;;;;;;;14801731,00;;14801731,00;;;;;;;;;;;
SAN MIGUEL;;1;15000;1277,50;1277,50;;766,50;332,15;1098,650;;1098,65;1098,65;622080,00;;622080,00;240000,00;;;;;;;;;;
SAN CRISTOBAL;9600;;;24124,00;24124,00;3036,00;2540,00;626,00;6202,000;;851,00;3887,00;710000,00;;710000,00;;;;;1;6912,00;;;;1382,40;3200,00
ISABELA;6000;;;1210,00;1020,00;;250,00;750,00;1000,000;;1000,00;1000,00;;91250,00;91250,00;;;;;;;42000,00;;;;
SANTA CRUZ;35000;;;1894,00;1894,00;90,00;1080,00;720,00;1894,000;720,00;1800,00;1890,00;;1800000,00;1800000,00;;;;;;;;;;;72,00
AMBATO;240000;;;84600,00;211,50;211,50;;;211,500;;;211,50;8339676,90;19459246,10;27798923,00;27798923,00;;;;;;20840000,00;;20840000,00;20840000,00;344222,90
BAÑOS;;1;60000;7200,00;7200,00;3,00;;;3,000;;;3,00;3639168,00;;3639168,00;3639168,00;;;;;;;;;;
CEVALLOS;;1;3000;2190,00;;;;;;;;;268056,00;126144,00;394200,00;394200,00;;252288,00;252288,00;3;180,00;37843,00;252288,00;37843,00;290131,00;
MOCHA;;1;6000;1460,00;;;;;;;;;409968,00;;409968,00;409968,00;;;;;;;;;;
PATATE;;;;3212,40;;;;;;;3212,00;3212,40;333728,63;123433,88;457162,51;457162,51;;157680,00;157680,00;5;300,00;;157680,00;;157680,00;
PELILEO;40000;;;16062,40;16062,40;2,40;9636,00;6424,00;16062,400;360,00;3592,00;16062,40;1289822,40;1261440,00;2551262,40;2551262,40;;;309052,80;4;8467,20;;;;309052,80;
PILLARO;5358981;;;830,68;1,80;1,80;;;1,800;;;1,80;2488320,00;;2488320,00;;;;;;;;;;;
QUERO;;1;8215;396,56;;;;;;;;;404352,00;;404352,00;404352,00;;;;;;;;;;
TISALEO;;1;7000;500,00;;;;;;;;;219301,34;11542,18;230843,52;230843,52;;110478,40;110478,40;5;4665,00;;110478,40;;;
ALAUSI;;1;17000;1872,00;;;;;;;;;;983923,20;983923,20;983923,20;602996,00;;;;;422097,20;;;422097,20;
CHAMBO;;;;3800,00;;;;;;;3800,00;3800,00;1639872,00;;1639872,00;1639872,00;;;;;;410400,00;;410400,00;410400,00;
CHUNCHI;20000;;;910,00;910,00;;546,00;318,50;864,500;318,50;864,50;864,50;441504,00;;441504,00;441504,00;;;;2;10500,00;;;;323850,00;
COLTA;;1;8000;;;;;;;;;;444184,56;148061,52;592246,08;592246,08;;;;;;;;;;
CUMANDA;4000;;;4200,80;4200,80;;3048,00;1152,80;4200,800;420,00;4200,80;4200,80;800000,00;;800000,00;800000,00;720000,00;;;;;576000,00;;;576000,00;
GUAMOTE;;1;25000;62,05;;;;;;;;;126144,00;630720,00;756864,00;756864,00;;;;;;240354,00;;240354,00;240354,00;
GUANO;;1;4000;2170,00;;;;;;;;;1399680,00;1399680,00;2799360,00;2799360,00;;;;;;1923696,00;;;1923696,00;
PALLATANGA;;;;1188,00;1188,00;;939,00;249,00;1188,000;;1188,00;1188,00;653184,00;;653184,00;653184,00;;;;;;528768,00;;;528768,00;
PENIPE;;1;12000;182,00;;;;;;;;;;283824,00;283824,00;283824,00;;189216,00;189216,00;1;60,00;0,00;189216,00;;189216,00;
RIOBAMBA;;1;100000;34675,00;;;;;;;;;14191200,00;;14191200,00;14191200,00;;2628000,00;2628000,00;1;2400,00;0,00;2628000,00;;2628000,00;
LA MANA;25000;;;18356,00;;;;;;;;;3374352,00;;3374352,00;;;;21900,00;2;7500,00;;;;21900,00;
LATACUNGA;;1;4000;82461,00;336,00;336,00;;;336,000;;;336,00;3908822,00;10881562,00;14790384,00;14790384,00;;;;;;4790329,00;;4790329,00;4790329,00;
PANGUA;;2;21200;1548,00;;;;;;;;;283824,00;;283824,00;283824,00;;;;;;;;;126743,20;
PUJILI;;1;40000;6022,00;;;;;;;;;912500,00;912500,00;1825000,00;912500,00;;638750,00;638750,00;6;400,00;;638750,00;;638750,00;
SALCEDO;330000;;;9490,00;9490,00;1,00;517,00;1281,00;1846,000;;;1,00;;2332800,00;2332800,00;2332800,00;;;;3;1666,00;;;;155520,00;
SAQUISILI;;1;20000;2555,00;0,80;0,80;;;0,800;;;0,80;1261440,00;189216,00;1450656,00;1450656,00;;;;2;1500,00;;;;638956,00;
SIGCHOS;;3;4000;;;;;;;;;;283824,00;;283824,00;283824,00;;63072,00;63072,00;1;50,00;;63072,00;;63072,00;
ARAJUNO;100000;;;274,00;0,42;0,42;;;0,420;;;0,42;315360,00;;315360,00;;;;;;;78840,00;;;78840,00;
MERA;;1;1800;2880,00;;;;;;;;;1135296,00;;1135296,00;;;;;;;;;;;
PASTAZA;;1;45000;9490,00;;;;;;;;;12299040,00;;12299040,00;5848207,00;;;;;;;;;;
SANTA CLARA;35000;;;;;;;;;;;;567648,00;;567648,00;;;;;1;150,00;;;;;
CAYAMBE;39920;;;13700,00;;;;;;;;;;3784320,00;3784320,00;3784320,00;;;;;;3405888,00;;;3405888,00;6037,00
MEJIA;;;;15694,00;5901,00;;375,00;1644,00;2019,000;575,00;575,00;575,00;;3127195,56;3127195,56;2247336,00;2079672,00;;;;;35976,00;;35976,00;35976,00;
